dataset,baseline,metric,mean,sample_sd,seed_ids_json,seed_values_json
unsw,DecisionTree,default_attack_recall,0.9686799612,0.0023439578,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9678372893320392, 0.9696682255360451, 0.9714550427953763, 0.9665578399364687, 0.9681020030000882, 0.9662710667960822, 0.9671313862172417, 0.972955086914321, 0.9663372452130945, 0.9704844260125298]"
unsw,DecisionTree,false_alerts_per_10000_benign,2642.9729729730,25.0343486135,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[2690.2702702702704, 2611.891891891892, 2652.4324324324325, 2614.5945945945946, 2664.864864864865, 2634.324324324324, 2615.675675675676, 2657.027027027027, 2639.7297297297296, 2648.9189189189187]"
unsw,DecisionTree,attack_recall_at_validation_1pct_fpr,0.0000000000,0.0000000000,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
unsw,DecisionTree,attack_precision_at_validation_1pct_fpr,0.0000000000,0.0000000000,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
unsw,DecisionTree,test_fpr_at_validation_1pct_fpr,0.0000000000,0.0000000000,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
unsw,DecisionTree,threshold_false_alerts_per_10000_benign,0.0000000000,0.0000000000,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
unsw,RandomForest,accuracy,0.7554826799,0.0008548154,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.754991983675849, 0.7557936160909489, 0.7554535296118156, 0.7560486809502988, 0.7567652917456154, 0.7544939999028324, 0.7559879512218821, 0.7554413836661322, 0.7538259728902492, 0.7560243890589321]"
unsw,RandomForest,balanced_accuracy,0.4836552208,0.0038118541,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.481378562867004, 0.4809632037340569, 0.48485061719945105, 0.4866671518577098, 0.48872775485499387, 0.4883501306897634, 0.48496939167999376, 0.4836999555035522, 0.4769523923100049, 0.47999304701892875]"
unsw,RandomForest,macro_precision,0.5342328639,0.0110490391,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5381446482639968, 0.5169114112018766, 0.5379374893178241, 0.5408111221373777, 0.542305601101083, 0.5418146509993198, 0.5356311376026388, 0.5478689863631916, 0.5162084704291178, 0.5246951212498673]"
unsw,RandomForest,macro_recall,0.4836552208,0.0038118541,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.481378562867004, 0.4809632037340569, 0.48485061719945105, 0.4866671518577098, 0.48872775485499387, 0.4883501306897634, 0.48496939167999376, 0.4836999555035522, 0.4769523923100049, 0.47999304701892875]"
unsw,RandomForest,macro_f1,0.4597014462,0.0061711576,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.455136643477928, 0.4544537237523724, 0.4611607949276876, 0.4668172228960786, 0.46755636708583204, 0.4648907218463906, 0.46245947592277964, 0.46017661886587896, 0.4481785091519515, 0.4561843845289812]"
unsw,RandomForest,weighted_f1,0.7760464879,0.0008528267,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7758860697977423, 0.7764919825905671, 0.7765447241435975, 0.7762192658006545, 0.7774535548538836, 0.7756320130094626, 0.7759369037554663, 0.7756921594445964, 0.7741525660527485, 0.7764556394696336]"
