dataset,variant,metric,mean,sample_sd,seed_ids_json,seed_values_json
unsw,smotenc,threshold_false_alerts_per_10000_benign,522.8918918919,66.7688588561,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[386.2162162162162, 591.081081081081, 495.94594594594594, 524.8648648648649, 545.4054054054054, 511.8918918918919, 467.02702702702703, 599.7297297297297, 505.6756756756757, 601.081081081081]"
unsw,smotenc_tomek,accuracy,0.7513008308,0.0012752080,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7498056648690667, 0.7494655783899334, 0.75, 0.7517490161783996, 0.7520283729291163, 0.7525385026478162, 0.7526963999416995, 0.7506558810668998, 0.7511295729485498, 0.752939318855366]"
unsw,smotenc_tomek,balanced_accuracy,0.5742052285,0.0075052317,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5760847765101303, 0.5736437942439412, 0.5545504976081518, 0.5758728801957042, 0.5830252891471909, 0.5786231860333954, 0.5780616129885386, 0.574647330283595, 0.5745663858614818, 0.5729765321596291]"
unsw,smotenc_tomek,macro_precision,0.5063343966,0.0077431776,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5108788138820616, 0.5004116917925244, 0.4974114050657817, 0.49737750367697736, 0.5145696793345188, 0.5084284066379604, 0.5021535104907691, 0.5006484520740937, 0.5121698480944109, 0.5192946550818486]"
unsw,smotenc_tomek,macro_recall,0.5742052285,0.0075052317,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5760847765101303, 0.5736437942439412, 0.5545504976081518, 0.5758728801957042, 0.5830252891471909, 0.5786231860333954, 0.5780616129885386, 0.574647330283595, 0.5745663858614818, 0.5729765321596291]"
unsw,smotenc_tomek,macro_f1,0.5061549621,0.0064268902,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5083097057659421, 0.5032778907331674, 0.4902769945146753, 0.5044114661450471, 0.5133883135359797, 0.5111590311413723, 0.5055831681635006, 0.5075053850923034, 0.5110514412574098, 0.5065862250771829]"
unsw,smotenc_tomek,weighted_f1,0.7785514925,0.0012255499,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7769024792163068, 0.7775671255291519, 0.7766671197038186, 0.7793365700571782, 0.7784262807488598, 0.7805377947487766, 0.7783660795854905, 0.7795586393864047, 0.779301618482017, 0.7788512171871029]"
unsw,smotenc_tomek,mcc,0.6799912327,0.0014146511,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6784349516936908, 0.6779220381878185, 0.6785815879106246, 0.6801212630748954, 0.6813599101642777, 0.6808598874832875, 0.6814253249219558, 0.6793875700915978, 0.6797770243808833, 0.6820427692403996]"
unsw,smotenc_tomek,log_loss,0.5821493870,0.0024938933,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5854333179551798, 0.5810049496160034, 0.5809298656872222, 0.5816431706205917, 0.5787952523511648, 0.5839420035036135, 0.57798746188033, 0.5831720660079099, 0.5845354798530251, 0.5840503025774646]"
unsw,smotenc_tomek,macro_roc_auc_ovr,0.9611982580,0.0003221688,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9609199384117625, 0.9615248562444083, 0.9611698395075132, 0.961207733382152, 0.9618022445480088, 0.960975774589693, 0.9612354081032473, 0.960737654683572, 0.960958399109952, 0.961450731206375]"
unsw,smotenc_tomek,macro_pr_auc_ovr,0.5568030094,0.0031856645,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5526624526371882, 0.5541904568108189, 0.5550938583012379, 0.5555309532475894, 0.5643286411205551, 0.5570676748437624, 0.5554929659070711, 0.5571944803705163, 0.5579556466780811, 0.558512963890385]"
unsw,smotenc_tomek,attack_pr_auc,0.9869764103,0.0001579482,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9867443035732937, 0.9869547336475443, 0.9868532382492208, 0.9868561786296128, 0.9873416812512773, 0.9869776379203649, 0.9870187201980017, 0.9869890396964222, 0.9870483096059147, 0.9869802606960456]"
unsw,smotenc_tomek,default_attack_recall,0.9770515309,0.0008933436,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9769037324627194, 0.9774111003264802, 0.9764404835436337, 0.975778699373511, 0.9787567281390629, 0.9759992940968852, 0.9770581487690815, 0.9780508250242654, 0.9769478514073944, 0.9771684461307686]"
